,location,Zone / Region,Observer Affiliation,Activity,Cloud Cover,Temperature (F),New or Recent Snowfall (cm),Rain/Snow Line,Snow Available For Transport,Wind Loading,Weather Summary,Observation Date,Submission Date,Observer Name,Observer type,Observation Summary,SIGNS OF INSTABILITY,Instability Comments,Latitude,Longitude,Route,Location,Distribution,Sensitivity,Size
98,Hellroaring Peak,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Feb 23, 2024","Feb 23, 2024",,public,"Dug around in the snow as part of the Patrol Funds level 2 Avy Course on hellroaring peak. We dug two pits on a South aspect at approx 6400’. Total snow depth was 165cm, multiple small crusts throughout snowpack. A thick pencil hard crust was noted through the bottom 35cm or so of the pit. One of the southerly pits had a ECTP28, down 37cm. Interestingly, the other pit approx 10 meters away on the same aspect at the same elevation had ECTX.We also dug one pit on a northerly slope at 6500’ and noted one thin crust approximately 39cm and a thicker crust a bit below that. In that pit we got a CT24, down 39. A PST didn’t break until almost entirely through the column, but we were then able to then get a clean break with a shovel shear. The slab broke, however it didn’t slide off the isolated column.Takeaways:Southerly aspects seem to have more crusts but not apparent slab.Variations exist even across similar aspects and elevations.Northerly aspects may have better skiing but there is a persistent slab that is likely low probability of triggering but could have high consequence if it does.",None Reported,,48.402214,-114.13365,,,,,
99,Hellroaring Basin,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Feb 23, 2024","Feb 23, 2024",,public,"A group of five (4 skiers, 1 snowboarder) in an avalanche course tried to observe buried surface hoar that were recently observed in the whitefish range a day prior. We were on a NW aspect at an elevation of 6,362. We were unable to confidently locate the buried surface hoar. At 126 cm we observed a hard crust and did two ECT tests with results of ECTN24@/31 and ECTN22. We also did three PST tests at 140cm but no propagation or collapsing occurred. 2-3” of New snow was deposited yesterday (2/22). Today (2/23) had no wind and clear visibility with scattered clouds. Overall, the facets observed seem to be rounding, however as we continued with snow column test and applying excessive force with a shovel pulling  behind the column we noticed the slab broke at an unidentified layer about the crust.  Our interpretation was this could be the buried surface hoar starting to round. However, we decided that this surface hoar layer should be treated with caution and as it may still exists and present problems at steeper angles.",None Reported,,48.402214,-114.13365,,,,,
100,Scalpblock,Flathead Range & Glacier NP,,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)",29,Not Observed,Not Observed,Moderate Amounts,Light,,"Feb 23, 2024","Feb 24, 2024",,public,see above,None Reported,,48.402214,-114.13365,"We decided to explore new to us ski spots up the Middle Fork instead of sticking to the old standby.  Traveled up standard Scalpblock trail (SW, W aspects) until about 6000 feet and then toured directly up to the summit and headed off N NE aspects for some skiing and obs.-On West aspect there was a breakable crust until 5,900 feet under a few cm of new snow.-Temperatures were above freezing below 5000 feet.-On ridges there was no sign of recent significant wind slab formation although ridges are less prominent than others in the range.Enjoyed skiing a new area but we concluded that over 3000 ft. elevation gain required to ski less than 1000 feet slopes makes it a less than ideal ski touring area.",,,,
101,North of WMR,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,Obscured (Sky not visible due to fog or non-cloud layer),Not Observed,10,Not Observed,Small Amounts,None,"Poor visibility, light winds, couple flurries","Feb 22, 2024 (9:30 - 12:30)","Feb 22, 2024",Rob Millspaugh,forecaster,"Monthly transceiver practice at the WMR beacon park, then a quick walk to Hellroaring Peak.

Found a couple layers of buried (decomposing) surface hoar roughly one foot deep at 6700', North aspect
This layer propagated in an Extended Column Test
No other obvious signs of instability
No sign of recent wind transport
Solar aspects had two thin melt-freeze crusts in the top foot of snow
The top crust was supportable on open slopes and punchy in the trees",None Reported,No obvious signs of instability,48.402214,-114.13365,,,,,
102,Tunnel Ridge,Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,"Scattered (Partly Cloudy, 3/8 to 4/8 covered)",Not Observed,Not Observed,Not Observed,Small Amounts,Not Observed,Partly Cloudy and warm temperatures.,"Feb 21, 2024 (9:00) - Feb 21, 2024 (16:00)","Feb 21, 2024",Cam Johnson,forecaster,"Today we went up to the Tunnel Ridge to do a wellness check on the wind station.

We observed two wet debris piles on southerly-facing aspects. I suspect these occurred on Monday, February 19th. No crowns were visible in the upper start zones. These were likely Wet Loose. 
Observed one natural slab avalanche on a ramp off of Mt. Grant. The crown appeared to be at roughly 6400 feet on a northeast aspect. Flat light made it difficult to get any quality photos. 
Snowpit tests on both north and south aspects revealed unstable results. Both snowpits failed on facets and surface hoar above the early February crust.

The upper snowpack structure is not inspiring. Although facets are showing signs of rounding, extended column tests had some energy when they propagated.",None Reported,,48.402214,-114.13365,,,,,
103,Tunnel Ridge,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Feb 21, 2024","Feb 21, 2024",,public,"Took the snowmobile near the top of the Tunnel Rd. Ran into the forecasters who I’m sure will have a more detailed report. During the skin in, there was a noticeable 1-2” crust at lower elevations which turned into unconsolidated heavy snow as we continued to climb. There were signs of roller balls on most Northerly aspects although I didn’t notice any running today despite temps at or above freezing.  No wind affected snow noted. We dug a quick pit on the saddle at approx 6200’ on a WNW slope. Total snow depth approx 230cm, ECTX. A thick crust layer was noted approx 45-50cm deep that didn’t react to an ECT but when I pried with the shovel it slid on that layer. We skied a densely treed WNW slope and found decent heavy snow but ended up in terrain a bit steeper than we planned. No instability noted but again it was very densely treed. And the bush still exists in all drainages!",None Reported,,48.402214,-114.13365,,,,,
104,Link Mountain,Whitefish Range,Flathead Avalanche Center,Skiing/Snowboarding,"Overcast (Cloudy, 8/8 covered)",25 on ridgetop and 32 on red meadow road,2,2500',Small Amounts,Light,"cloud deck raised and lowered several times during the day. Socked in at upper whitefish lake, but raised to about 6500' before falling back down around 1600. S1 snow above 5500' with rime around 4600' on our way back to Olney.","Feb 20, 2024 (9:30) - Feb 20, 2024 (16:30)","Feb 20, 2024",Jeff Metsky,professional,"We traveled up to Link Mountain to de-rime the weather station today.

Pleasantly suprised to find nice coverage below 5000'
The only significant avalanches we were able to see were older debris piles in the larger slide paths both off of Link Mountain and above Red Meadow Lake. Cloudy/Obscured skies limited visibility at higher elevations.
Temps hovered around the freezing mark along the road, but cooled to mid-20s as we gained elevation. 
Although winds were light out of the SW, gusts up to 22mph along the ridgetop forced us to add an additional layer as the Wx station was cleaned off. 
1 D1 wind slab was released on the ridge just below the Wx Station. Wind slabs were limited to small size in our location.
We chose slopes under 35 degrees that provided fun turns and ample stoke upon returning to our sleds.",Avalanches Observed  Avalanches Triggered,"Small wind slabs on ridgeline on leeward side of Link Mtn. Reactive to a rider, but very limited in size and didn't entrain additional snow. We observed no cracking or whumphing during our ascents or descents. Small pockets of dry loose snow released while descending, but were easily managed through good travel techniques.",48.402214,-114.13365,"olney to red meadow pass, ascend SE face to link mtn. return same way",NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
105,Kimmerly Basin,Whitefish Range,,Skiing/Snowboarding,Obscured (Sky not visible due to fog or non-cloud layer),30,2,Not Observed,Large Amounts,None,Warmer day. Large wet snowflakes fell for most of the morning and tapered on and off during the afternoon. Not a lot of accumulation was noted.,"Feb 20, 2024","Feb 21, 2024",,public,"Although there was no propagation on our ECT test and we did not see any other signs of instability, we felt that the identification of the problem layer, and the recent observations/events in the middle fork, were enough for us to feel a high level of uncertainty. The transition from unconsolidated and non-cohesive recent snow to a soft slab-like structure also added to our concern.",None Reported,No signs of instability noted outside of snowpit,48.402214,-114.13365,Skiied E facing aspect at/below 7000 feet.,,,,
106,Rescue Creek,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Feb 19, 2024","Feb 19, 2024",,public,Warm day in rescue and the sun was coming in as we were leaving. We skinned up to the bowl just below the pass and got eyes on a big crown on the E-SE face of Penrose running about 1000 feet across the face. The crown was probably 1000 feet above us but the debris from the slide ran down almost to the second step in the drainage. It had some new snow on it so it was probably a bit older Throughout the day things were getting warmer. There was minimal stuffing from trees but the snow was noticeably softening. We dug a put at about 5000 feet on an E aspect and found a stiff crust with 1.5 feet of lighter snow on top. ECTN 13 with that crust 1.5 feet down being very stout at this lower elevation.,None Reported,,48.402214,-114.13365,,,,,
107,Rescue,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Feb 19, 2024","Feb 19, 2024",,public,Took the meandering alley-oop up to the Penrose shoulder and found somewhat punchy upside down pow. The trees on solar aspects of Penrose were raining and shedding hard. Otherwise pretty calm weather and avy activity.,Avalanches Observed,,48.402214,-114.13365,,,,,
108,Top of the World,Whitefish Range,,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)","warming, but still below freezing at noon",trace,Not Observed,Large Amounts,Previous,High clouds in the morning with plenty of solar input.  Some clearing  in the afternoon.   Still below freezing on North aspects near 6000' at noon.  Fog near ridgetops as warm air from the South met the cooler air on the North aspects.  Light Southerly wind.   Above freezing at 2:00pm on mid elevation S aspect.,"Feb 19, 2024","Feb 19, 2024",,public,"-Focus was investigating how the warming trend was affecting stability on N aspects in terrain East of WMR.-Found a more cohesive slab on top of the crust/persistent weak layer sandwich.-Surprised to find no failure or propagation in two Extended Column tests, given the persistent weak layer problem.-Observed multiple parties ski 35-38* degree wind sheltered slopes with a rollover without incident.-Stayed well away from steep solar-exposed slopes, but found excellent skiing on low-angle South aspects that were just beginning to crust over as clouds thickened in the late afternoon.",None Reported,"Only sign of instability definitely observed was rollerballs from tree bombs on steep sun-exposed terrain.   The light was flat when I got a look at Skook Chutes from across the canyon, so I am not positive, but it looked like a point release had triggered a small slab.  Again, not positive, but that is what it looked like.",48.402214,-114.13365,"Toured from WMR baselodge  at 4500' to 6400' via S, NE and West aspects to investigate N aspect.",,,,
109,Essex,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Feb 19, 2024","Feb 20, 2024",,public,"Looks like December coverage, skis like April. •Overcast skies broke around 1100 and gave way to powerful sunshine which affected any solar aspects top-to-bottom (ie rollerballs/trees dripping/chirping birds)•The solar input from Saturday left a very thin M/F crust on the surface of most S/W aspects. In shaded terrain we found dense powder and overall optimal skiing conditions. •Winds at upper elevations were calm with light gusts. No snow transport was occurring anywhere along the FH crest. •Overnight, a dusting of snow had partially filled in existing skinners. Of note, the tracks that were visible on Mt Adams (saturday), had been filled in and were hard to see. Assuming light snow accumulation and recent winds were responsible. •On our descent, we skied a W aspect and the aforementioned M/F crust was beginning to break down and create a wet surface. We did find dry snow on small NW folds within the topography. •Numerous D1-2 wet loose slides were observed in the Sheep and Essex Creek drainage, all originating in steep, rocky, solar prone terrain.",Avalanches Observed,Surface instability was occurring from rapid warming (ie rollerballs and trees dripping up to 7500' W),48.402214,-114.13365,"Toured into Essex Creek (0900), climbed and skied a W aspect from our high point of 7875'",,,,
110,"Another skier caught and carried, Marion Lake",Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",Not Observed,0.5,Not Observed,Small Amounts,None,"Mostly clear skies, warm but not hot in the sun, calm to light winds.","Feb 19, 2024 (10:00) - Feb 19, 2024 (17:00)","Feb 20, 2024",blase reardon,forecaster,"We investigated the crown of the avalanche accident that occurred above Marion Lake. Unfortunately, we added to the tally of large, human-triggered avalanches in that area when I triggered 2 large avalanches (SS-ASu-R2-D2-O) on our descent, one of which caught and carried me but did not bury me. 

The slide occurred on similar terrain as the nearby slide: a northeast-facing slope at 7000 feet.
The start zone slope angle was 33-34*. It was adjacent to a steeper slope to the rider's left. It was roughly concave, except for a small convexity on the rider's right side, which also contained some small trees.
The slide released almost immediately when I entered the slope. I tried to ski off the slab to the skier's right. Close, but not quite. 
The debris carried me about 200 vertical feet. I was under the snow for much of that but not buried. The debris continued another 100 vertical feet or so.
I lost some equipment but was uninjured, apart from painful bruises and several small cuts.
My partner and I self-evacuated. 

Needless to say, I was surprised by the slide. The weak layer at the crown and slopes adjacent to the 2/17 slide looked unassuming - not much softer than the layer above, facets rounding, no propagation in tests. 
Some factors contributing to the accident:

It was late in the day and we were looking for a quick, easy way back to the TH. We were on top of the ridge when we finished our investigation. Instead of backtracking to the easterly slope with 16 tracks on it, we descended an east-facing ridge so we could stick to sunny slopes if conditions allowed, or find a low-risk entry to the shaded slopes above the lake.
Complacency. We underestimated the slope we chose and did not leave an adequate margin for surprises. It was less steep than the terrain we'd been in during the investigation. While it was a mostly concave slope, it was still steeper than 30* and facing northeast. 
Recency bias: We over-emphasized our obs from that day - which included no signs of instability and unalarming test results. We underestimated the glaring but older crown 500 feet away.

It's been 14 years since I last took a ride. This better be the last one. It was a violent ride.",Avalanches Observed  Avalanches Triggered  Caught in Avalanche,"None, except recent avalanches. We traversed 35* slopes adjacent to the 2/17 slide without whumpfing or cracking. Skiing the ridge above the slope that released did not produce any shooting cracks on the adjacent 38* slopes.",48.402214,-114.13365,,NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
111,East of WMR,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Feb 18, 2024","Feb 18, 2024",,public,"We dialed back our decision-making today after seeing yesterday's reports of the persistent weak layer failures in the Flathead Range. We observed no  signs of instability and found boot-top powder on N aspects. One short run from 6300' on S facing aspects held an egg-shell thin or non-existent sun crust that did not interfere with skiing. Weather was mild, calm winds, with a high cloud ceiling and views of GNP. The sun even made a brief appearance around 1pm. Lovely day to be in the mountains.",Avalanches Observed,,48.402214,-114.13365,,,,,
112,Spaghetti Ridge,Flathead Range & Glacier NP,,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)",22,Not Observed,Not Observed,Small Amounts,None,"Good cloud cover.  Didn’t get green housed, didn’t get sunburnt.  Moisture started moving in around 1500 or so, drove thru S1 from Ryan drive to Blankenship.","Feb 18, 2024","Feb 18, 2024",Al Goretex,public,"Dry, settled pow on top of  crust. 4-8 cm below 4000’ with up to 30 cms at high point of roughly 6600 ft.  Virtually no wind effects observed.  Trees all had snow still.",None Reported,"Nothing, but I was  in the trees most of the time",48.402214,-114.13365,Spaghetti ridge trail from hwy up to 6800 ft-ish.W/Nw aspects,,,,
113,Jewel,Swan Range,,Skiing/Snowboarding,,,,,,,,"Feb 18, 2024","Feb 18, 2024",,public,"Cloudy and snowing through the afternoon. About 1 inch by evening. Traveled cautiously and stayed in sheltered terrain. Two snow pits test results -7000 ft, NE aspect near a wind impacted ridgelineECTP23, 65cmHS 2656400 ft, NNE aspect, sheltered areaECTN, 65cmHS 270",Cracking Observed (isolated),,48.402214,-114.13365,,,,,
114,Cascadilla,Flathead Range & Glacier NP,,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)",25,Trace,Not Observed,Small Amounts,None,"A day of good visibility with a cloud ceiling above Nyack mountain, periods of sun in the afternoon that caused some warming but nothing that would cause us to change our travel plans.","Feb 18, 2024","Feb 18, 2024",,public,"Overcast day with calm conditions, no wind and periods of sun cover. Steep slopes haven't moved since last observation on Friday and the neighboring Crystal Creek drainage as well as Cascadilla Creek have seen some traffic over the weekend. Despite this, no sign of new crowns or instability to note. Many sluff piles on steeps.",None Reported,"The snow has gotten heavier and warmer as these past few days of sunny skies and warm temps have had there way on the mountains. Whereas 2 days ago the snow was more akin to cold smoke, today it was closer to the cascade concrete I grew up with.",48.402214,-114.13365,"Skin track route to western ridge, topping out at 6200",NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
115,Cascadilla Creek - Flathead Range,Flathead Range & Glacier NP,,Skiing/Snowboarding,"Broken (Mostly Cloudy, more than 4/8 but less than 8/8)",30,0,Not Observed,Moderate Amounts,None,Warmer day - no winds - the sun did pop out and heat up the area after noon.,"Feb 18, 2024","Feb 18, 2024",,public,Lots of tracks in Basin on NE facing aspects. We wanted to check out the SE facing aspects on this cloudy day to see how the last couple days sun had affected the snow. Found surprisingly unstable conditions on SE aspect - appeared to be the same issue weak layer we were finding on NE aspects yesterday. No signs of recent wet loose or dry loose slides. The sun did pop through the clouds around noon and began heating up the aspect considerably. No roller balls were noted.,Collapsing Observed,"Collapsing ""wumpfing"" on SE aspect at roughly 5800 feet.",48.402214,-114.13365,Cascadilla Creek Trail head - Gained southern shoulder of the bowl looking into Crystal Creek (5700 feet North Aspect) - Also climbed SE aspect across basin towards Wahoo Creek.,,,,
116,Southern GNP - Little Dog Mtn,Other,,Skiing/Snowboarding,Clear (No clouds),Not Observed,0,Not Observed,Small Amounts,Previous,"Clear all day with calm to light SW winds. Wind speeds increased slightly in the afternoon.Overnight lows hovered around 0 deg F and daytime highs reached near freezing at Marias Pass and the high-teens, low-20s deg F above 7000'.","Feb 17, 2024","Feb 17, 2024",Adam Clak,public,-Cold conditions around sunrise gave way to a nice sunny and relatively warm day.-We mostly traveled on sunny aspects and found 15-30 cm powder snow on top of the Feb. crusts. In locations below about 7000' this soft snow rested on top of the 1-2cm thick Feb 6th crust. Below this there was about 5-10 cm of facets resting on top the much stouter and thicker Feb. 3rd crust. These facets were more developed and weaker than what we found in the same layer in nearby terrain earlier this week.-Above 7000' feet the Feb. 6th crust thinnned out and disappeared. The stout Feb. 3rd crust however remained present on sunny aspects all the way to our high point at 8610'. On a west aspect at 8500' it was about 20 cm thick.,Avalanches Observed  Cracking Observed (isolated),"Kicked off about a half dozen small wind slabs that were failing on facets underneath. These were about 8-16"" thick but would only propagate 2-6'. Many other similar test slopes with wind slab were unreactive to cuts.",48.402214,-114.13365,From Marias Pass went up the Autumn Ck trail and then up/down the SW ridge of Little Dog,,,,
117,Tunnel Ridge,Flathead Range & Glacier NP,,Skiing/Snowboarding,Clear (No clouds),Not Observed,Not Observed,Not Observed,Not Observed,None,"Minimal wind affect. 8 degrees start of tour, 23 degrees on the ridge, 18 at the car upon return.  Winds were so shockingly calm, we didn’t want to talk about it. No snow transporting within our visual field.","Feb 17, 2024","Feb 17, 2024",,public,Snow stayed dry on both NW and NE aspects throughout the day down to 4800.’ That early February crust seems to be nicely buried in this region by a settled 6” of recent snow fall. Small cornice formation (see video) on north facing ridge lines. Observed surface hoar around 5800’ on a N aspect.,Avalanches Observed,"We saw a few dry loose slides on NW facing slopes that were natural and just below a rock band. No cracking, whoompfing, or collapsing.",48.402214,-114.13365,Sledded up about three miles before peeling off and skinning up the gut of the Pinacle creek drainage to the top of tunnel ridge. Saw all the things and places from there with the good vantage and visibility.,,,,
118,Rescue Creek,Flathead Range & Glacier NP,,Skiing/Snowboarding,Clear (No clouds),20,Not Observed,Not Observed,Large Amounts,Light,Clear sunny skies - no wind - very cold in the shade - solar radiation strong.,"Feb 17, 2024","Feb 17, 2024",,public,Deep soft snow in northerly aspects.  Observed a dry loose avalanche on SE aspect - believed to be caused by solar radiation.  Found a deep weak and reactive layer at 55cm below the snow surface on a northerly aspect at 6200 feet.,Avalanches Observed,,48.402214,-114.13365,Accessed via rescue creek trail - climbed saddle south of Mt Penrose. Observed northern and southeast aspects.,,,,
119,Spider Bowl,Swan Range,,Skiing/Snowboarding,Not Observed,17,Not Observed,Not Observed,Small Amounts,None,"Unlimited visibility with views from Mt Cleveland to the Cabinets and down to the Missions.. No wind, great touring temps..","Feb 17, 2024","Feb 17, 2024",,public,Wind affected snow at all elevations from creek bed up to summit ridge.  Good radiation balance.  Snow surface I traveled on was not sun affected. Trees gradually started shedding snow  in afternoon but no dripping fortunately.,None Reported,,48.402214,-114.13365,"Up road, up creek, up to the ridgetop, and reverse.  W, NW aspects mostly.",,,,
120,Soup Creek,Swan Range,Flathead Avalanche Center,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",Not Observed,0,Not Observed,Moderate Amounts,None,"Calm winds,  increasing clouds through the day.","Feb 17, 2024","Feb 17, 2024",Rob Millspaugh,forecaster,"A beautiful day at the brush ballet:

This area has 16-24"" of unconsolidated snow seemingly well-bonded to the 2/3 crust(s)
Witnessed no obvious signs of instability
Observed minor natural sluffing in steep rocky terrain
Found small surface hoar on shaded aspects at mid elevations, did not find buried surface hoar in hand pits
Noticed plenty of evidence of recent NE winds as low as 5500'
Wind slabs were thin and stubborn along an upper elevation ridge",None Reported,One crack in a thin wind slab on a ridge at 6700'.  Small sluffs did not pick up much mass or speed on steep shaded slopes at 6800',48.402214,-114.13365,Ascend/descend N aspects between 5000-7000 feet,,,,
121,Moose Peak,Whitefish Range,,Skiing/Snowboarding,Clear (No clouds),Not Observed,0,Not Observed,Small Amounts,Light,Clear and sunny. Super cold in the shade and warming and getting wetter in areas exposed to sun.,"Feb 17, 2024","Feb 17, 2024",,public,"We went into Moose Lake to ski the South face of the ridge North of the lake. As we approached that face, that aspect had a significant sun crust. We changed our plans and toured to the saddle North of Moose Peak. Climbed Moose Peak, and descended to a skiable area on the Northern aspect of Moose Peak. We dug a pit, and got ECTX and CTX results, with no failure or propagation. We skied the Northern aspect and it was good with 1-2 feet of soft snow on top of the crust. We also skied off the East face of Moose Peak which was starting to develop a sun crust and warming but not as bad as the South facing aspects.",Avalanches Observed,None observed.,48.402214,-114.13365,Toured in from Moose Lake to the saddle Northeast of Moose Peak. Skied off the north face from above that saddle then back up to near the summit of Moose Peak and skied the East Face of Moose Peak then back to the lake.,,,,
122,East of WMR,Whitefish Range,,Skiing/Snowboarding,Clear (No clouds),below freezing,30-45cm,Not Observed,Large Amounts,Previous,"Clear, calm, with warming trend.  Cold air pooled in Canyon Creek, keeping the pow cold.","Feb 17, 2024","Feb 17, 2024",,public,"Observed no signs of instability on non-wind affected steep North-facing slopes  between 6400' and 5600'.  Turns on 35-40 degree pitches produced no sloughing or cracking.  Observed surface hoar up to 5mm in size in mid-elevation basins.   Found a breakable 2cm sun crust on steep southerly aspects and a much thinner sun crust on steep Westerly aspects.   Loose snow sloughing, whether dry or wet was  minimal on Big Slide.  Some drifts and mini-cornices were on the ridgetop from the recent NE wind event.",None Reported,Observed no signs of instability  except for limited loose snow sloughs on Big Slide.,48.402214,-114.13365,"Toured from WMR base lodge at 4500' to 6400' via low elevation Southerly aspects and mid elevation Westerly aspects to access the cold, cohesionless powder on Northerly aspects.",,,,
123,"Skier caught, carried, and injured - Marion Lake",Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,Clear (No clouds),Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,,"Feb 17, 2024","Feb 18, 2024",blase reardon,forecaster,"Preliminary information. Will be updated as info is gathered. FAC plans to visit the site Monday. 2/19.
Summary: 
A skier triggered a slide that caught another member of the party below. The victim was carried through small trees and came to rest partially buried and injured. The party administered first aid and alerted EMS (InReach and cell phone call from ridge). EMS received the call at 16:50 and dispatched Two Bear Air. Two Bear inserted a Deputy and then extracted both the victim and the deputy from the scene. They transferred the patient to an air ambulance at Hungry Horse Reservoir (the patient was able to walk between helicopters). The patient was hospitalized overnight and treated for serious but non-life-threatening injuries.
Preliminary events and details:
Two parties of 2 left the Izaak Walton trailhead planning on summitting and skiing Mt. Adams on the crest of the Flathead Range. They left at different times and were unaware of each other's plans. The first party approached across Marion Lake with a descent off the south ridge of Pt. 7798 into Essex Creek. This large avalanche path has numerous names, including Marion's Big Mouth. The second pair approached up Essex Creek.
The parties met on the uptrack to Mt. Adams and skied the east face of the peak as a single group without incident (it had also been skied the previous day). They then climbed out of the Alameda Lake Basin in Essex Creek to the south ridge of Pt. 7798 above Marion Lake. The east-facing slope above the lake is sometimes known as Peanut Butter Bowl. It had been skied the day prior by at least two riders and by at least six riders earlier in the day of the accident. Another party skied steeper, southeast-facing slopes to skier's left about 90 minutes before the accident. That party reported conducting an ECT that broke but did not propagate at a storm interface roughly a foot below the snow surface.
On the ridge, the group of four split into 2 parties comprised of 1 member from each of the original groups. The two parties were equipped with radios, and avalanche rescue gear. One pair (Riders 3 and 4) planned to ski the concave, east-facing slope with existing tracks (Peanut Butter Bowl). The other pair (Riders 1 and 2) chose a line to skier's right that is northeast facing, with a steep, convex entry. Rider 1 skied the upper part of the slope with no incident. They stopped below the run.
Rider 2 entered the slope and triggered a large, soft slab avalanche. Rider 1 alerted the rest of the group of the slide and watched Rider 2 ski off the slab to skier's left. Unfortunately, this did not give them time to escape the debris rushing down at them. The debris carried Rider 1 roughly 50 meters through some small trees. They came to a rest mostly on the snow surface (legs buried). Rider 1 did not lose consciousness. Rider 1 was able to make brief radio contact with the rest of the group. They lost a ski and pole. The slide occurred at about 16:30.
Rider 3 stayed on the ridge where they had cell service. Riders 2 and 4 rode down to Rider 1, where they assessed the victim and planned a rescue. They decided Rider 2 would look for the victim's lost gear while Rider 4 assessed and stabilized the victim, whose symptoms included arm, chest, and back pain. After 5 minutes or so, the group decided against self evacuating due to the back pain and potential for further injury. They alerted EMS via InReach and cell phone.
EMS received notification at 16:50 and launched Two Bear Air. They inserted a deputy, then extracted the victim and deputy. They transferred the patient to an air ambulance at Hungry Horse Reservoir (The patient was able to walk between helicopters). The patient was hospitalized overnight and treated for serious but not life-threatening injuries. Riders 2, 3, and 4 self evacuated.
One member of the party cited several factors that contributed to the accident:

Confirmation bias - they'd skied a larger, more consequential line earlier in the day (Mt. Adams) and there were other tracks nearby.
Complacency and fatigue: it was late in the day, and the riders were tired. The 4 riders had already skinned over 7000 vertical feet.

The avalanche was a large avalanche (D2.5) that likely failed on old snow - either an interface between storms or a thin layer of facets a few inches above the Feb. 3 ice/ crust layer. The slab may have been composed partly of wind-drifted snow. It released at roughly 7100 feet on a convex, upper elevation, shaded slope. The debris stopped mid path, at about 6400 feet, after covering part of the uptrack set in Peanut Butter Bowl the day before and used by other parties the day of the accident.  
The avalanche forecast for Feb. 15-17  listed a Persistent Slab avalanche problem in terrain with these characteristics, with a Moderate (L2) avalanche danger. The party was riding one at a time, though Rider 1 did not stop in a safe zone. Their response to their accident was exemplary.
Two other near-misses occurred the same afternoon on shaded, upper elevation slopes in the next drainage north.",Avalanches Observed  Avalanches Triggered  Caught in Avalanche,,48.402214,-114.13365,,,,,
124,Cascadilla,Flathead Range & Glacier NP,,Skiing/Snowboarding,,,,,,,,"Feb 17, 2024","Feb 17, 2024",,public,-Snowpack on NW slope at 5600’ HS180cm: 50cm of storm snow atop early 20cm thick faceted February crust : ECTN with moderate force on 10cm thick 1mm facet layer sitting atop the February crust -Upper elevation wind slabs were unreactive on SE aspect -2mm surface hoar at middle elevation -South aspects had a sun crust forming after todays intense sunshine,Avalanches Observed,,48.402214,-114.13365,,,,,
