,location,Occurrence Time,Zone / Region,Observer Affiliation,Observation Date,Associated Observation,# Avalanches:,Aspect:,Aspect Range:,Elevation:,Destructive Size:,Type:,Problem Type:,Trigger:,Occurrence Date,Observer Name,Observer type,Latitude,Longitude,Avalanche Summary,Bed Surface:,Weak Layer Grain Type:,Slope Angle:,Vertical Fall:,Relative Size:,Width:,Terminus:,Weak Layer Burial Date:,Slab Thickness:,Caught/Carried:,Partly Buried-Not Critical:,Injured:
56,Slopes above Marion Lake,15:50 (Exact),Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 19, 2024",View Observation,1,NE,NE,7000 ft,D2,SS-Soft Slab,Persistent Slab,AS-Skieru-Unintentional,"Feb 19, 2024 (Exact)",blase reardon,forecaster,48.402214,-114.13365,"Big, propagated fast and far. I did not feel the slope collapse (apparently almost immediately after I started down). My partner alerted me with shouted ""Right!"" (SOP for us is to yell direction only). I almost made it to the left edge of the slab before the breaking snow bounced me off my feet or pulled my skis down. I tried to dig into the bed surface. When that failed, I looked downslope and saw a small tree. I attempted to grab it but hit it chest first and bounced off. In retrospect, I think that slowed me down and put me clsoer to the tail of the debris. I tumbled down hill, mostly under the snow, sometimes with some snow in my mouth. I kept fighting to stay at the surface and when the debris stopped I was. I waved to my partner and returned his yell. He was there within seconds with his beacon out. After his thorough assessment, we made the decision to self evacuate. This slide had a distinct stauchwall above a convexity to the right. The debris washed over the convexity and triggered a 2nd, similarly sized slide. The debris flowed together.",O-Old Snow,FC-Faceted Crystals,33°,450 ft,R2,200 ft,MP - Middle of Path,"Feb 8, 2024",50 cm (1.5 ft),1,1,1
57,Above Marion Lake,15:50 (Exact),Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 19, 2024",View Observation,1,NE,NE,6900 ft,D2,SS-Soft Slab,Persistent Slab,AS-Skieru-Unintentional,"Feb 19, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,"The debris from a triggered slide triggered a second slide as it ran over a convexity. The debris flowed together, though there was a distinct, seperate stuachwall above the crown of this slide. Crown thickness looked to have ranged from 20 t0 50 cm.",O-Old Snow,FC-Faceted Crystals,37°,300 ft,R2,100 ft,MP - Middle of Path,"Feb 8, 2024",50 cm (1.5 ft),,,
58,Tunnel Creek,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 21, 2024",View Observation,3,S,SE,6500 ft,D2,WL-Wet Loose,Wet Loose,N-Natural,"Feb 19, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Observed a few recent debris piles from southerly aspects.,,,,,R2,,,,,,,
59,Above South Dickey Creek,11:22 (Exact),Flathead Range & Glacier NP,,"Feb 17, 2024",View Observation,1,SE,,6700 ft,D2,SS-Soft Slab,,N-Natural,"Feb 17, 2024 (Exact)",Zachary Miller,public,48.402214,-114.13365,Small loose dry avalanche initiated in exposed cliffs due to solar input and triggered a large storm slab avalanche that ran nearly full track ~1200' vertically. SS-N-D2-R3,,,,1200 ft,R3,75 ft,BP - Bottom of Path,,,,,
60,Logging Valley. Wolfgun Complex,15:00 (Estimated),Other,Glacier National Park (Snow Ranger),"Feb 16, 2024",View Observation,11,SW,,7000 ft,D2,,Dry Loose,N-Natural,"Feb 17, 2024 (Exact)",Jackson George,professional,48.402214,-114.13365,Several natural dry loose avalanches that occurred some time between 1:30pm and 4:00pm.,,,,,,,,,,,,
61,Mount Geduhn East,12:00 (Estimated),Other,Glacier National Park (Snow Ranger),"Feb 16, 2024",View Observation,1,SW,,8000 ft,D2.5,,Persistent Slab,N-Natural,"Feb 17, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,Persistent Slab avalanche that failed naturally east of Mount Geduhn.,,,,,,,,,,,,
62,South Vulture (9390'),Not Reported,Other,Glacier National Park (Snow Ranger),"Feb 16, 2024",View Observation,6,S,,6500 ft,D2.5,,Dry Loose,N-Natural,"Feb 17, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,Several natural dry loose avalanches that occurred some time between 1:30pm and 4:00pm.,,,,,,,,,,,,
63,Mt Penrose,12:00 (Exact),Flathead Range & Glacier NP,,"Feb 17, 2024",View Observation,1,SE,,6800 ft,D2,L-Dry Loose,Dry Loose,N-Natural,"Feb 17, 2024 (Exact)",,public,48.402214,-114.13365,Watched the slide from across the drainage. Believed to be from sun exposure. ,S-New Snow,,45°,1800 ft,R3,100 ft,MP - Middle of Path,,,,,
64,SE face of Tunnel Ridge,Not Reported,Flathead Range & Glacier NP,,"Feb 17, 2024",View Observation,2,SE,,6600 ft,D1,,Wet Loose,N-Natural,"Feb 17, 2024 (Estimated)",,public,48.402214,-114.13365,"Sometime at or around noon a tree bomb likely triggered a 50’ wide D1 wet loose at approximately 6600’ that ran for 200’ or so. We observed it from above, on the ridge. ",,,,200 ft,,50 ft,,,,,,
65,Tunnel Ridge,Not Reported,Flathead Range & Glacier NP,,"Feb 17, 2024",View Observation,6,NE,,6200 ft,D1,,,N-Natural,"Feb 17, 2024 (Estimated)",,public,48.402214,-114.13365,several dry loose - maybe 3 from today and 3 from yesterday below a cliff band at approximately 6200’ on the NE aspect of Tunnel Ridge. ,,,,75 ft,,10 ft,,,,,,
66,Dicky Creek,03:00 (Exact),Flathead Range & Glacier NP,,"Feb 17, 2024",View Observation,1,N,,7200 ft,D1.5,SS-Soft Slab,Persistent Slab,AS-Skieru-Unintentional,"Feb 17, 2024 (Exact)",,public,48.402214,-114.13365,"Skier triggered. After digging 2 pits with no resulted, and seeing no other signs of instability (besides the other avalanche we witnessed), skied a north aspect one at a time. Slope didn’t fail until 4th skier, who was able to ride out the side of the slide while all other party members below were in safe spots and untouched by the slide. Looking up from below, appeared to fail on a subtle convexity. ",U-Unknown,,30°,100 ft,,50 ft,,,50 cm (1.5 ft),,,
67,Dicky Creek,11:30 (Estimated),Flathead Range & Glacier NP,,"Feb 17, 2024",View Observation,1,S,,7500 ft,D2.5,SS-Soft Slab,,N-Natural,"Feb 17, 2024 (Exact)",,public,48.402214,-114.13365,Was receiving ample sunlight when we witnessed this avalanche fail. Hard to judge vertical drop but best guess is 1600ft. ,,,,1600 ft,,,,,,,,
68,Little Dog - SW bowl,13:00 (Estimated),Other,,"Feb 17, 2024",View Observation,10,SW,,7000 ft,D1.5,L-Dry Loose,Dry Loose,N-Natural,"Feb 17, 2024 (Exact)",Adam Clark,public,48.402214,-114.13365,Observed several D1 loose snow avalanches. A copule nearing D2 size that began running after noon,,,45°,1000 ft,R1,,,,,,,
69,Backside of Marion,05:40 (Exact),Flathead Range & Glacier NP,,"Feb 17, 2024",View Observation,1,N,,7100 ft,D2.5,SS-Soft Slab,Persistent Slab,AS-Skieru-Unintentional,"Feb 17, 2024 (Exact)",Zachary Miller,public,48.402214,-114.13365,Unintentionally skier triggered persistent slab avalanche that thankfully no one was caught or carried in. The avalanche was approximately 55cm deep and failed on a 3cm thick layer of small grained facets above the early February crust complex. The avalanche ran full track and onto old debris from the wet slab cycle of late January.,O-Old Snow,FC-Faceted Crystals,38°,1700 ft,R4,75 ft,BP - Bottom of Path,"Feb 8, 2024",55 cm (2 ft),,,
70,Head of Marion Lake,16:30 (Estimated),Flathead Range & Glacier NP,Flathead Avalanche Center,,View Observation,1,NE,"E, NE, N",7100 ft,D2.5,SS-Soft Slab,Persistent Slab,AS-Skieru-Unintentional,"Feb 17, 2024 (Exact)",blase reardon,forecaster,48.402214,-114.13365,"Two parties of 2 left the Izaak Walton trailhead planning on summitting and skiing Mt. Adams on the crest of the Flathead Range. They left at different times and were unaware of each other's plans. The first party approached across Marion Lake with a descent off the south ridge of Pt. 7798 into Essex Creek. This large avalanche path has numerous names, including Marion's Big Mouth. The second pair approached up Essex Creek.

The parties met  on the uptrack to Mt. Adams and skied the east face of the peak as a single group without incident (it had also been skied the previous day). They then climbed out of the Alameda Lake Basin in Essex Creek to the south ridge of Pt. 7798 above Marion Lake. The east-facing slope above the lake is sometimes known as Peanut Butter Bowl. It had been skied the day prior by at least two riders and by at least six riders  earlier in the day of the accident. Another party skied steeper, southeast-facing slopes to skier's left about 90 minutes before the accident. That party reported conducting and ECT that broke but did not propagate at a storm interface roughly a foot below the snow surface. 

On the ridge, the group of four split into 2 parties comprised of 1 member from each of the original groups. The two parties were equipped with radios, and avalanche rescue gear. One pair (Riders 3 and 4) planned to ski the concave, east-facing slope with existing tracks (Peanut Butter Bowl). The other pair (Riders 1 and 2) chose a line to skier's right that is northeast facing, with a steep, convex entry. 

Rider 1 skied the upper part of the slope with no incident. They stopped below the run. Rider 2 entered the slope and triggered a large, soft slab avalanche. Rider 1 alerted the rest of the group of the slide and watched Rider 2 ski off the slab to skier's left. Unfortunately, this did not give them time to escape the debris rushing down at them. The debris carried Rider 1 roughly 50 meters  through some small trees. They came to a rest mostly on the snow surface (legs buried). Rider 1 did not lose consciousness. Rider 1 was able to make brief radio contact with the rest of the group. They lost a ski and pole. The slide occurred at about 16:30. 

Riders 3 stayed on the ridge where they had cell service. Riders 2 and 4 rode down to Rider 1, where they assessed the victim and planned a rescue. They decided Rider 2 would look for the victim's lost gear while Rider 4 assessed and stabilized the victim, whose symptoms included arm, chest, and back pain. After 5 minutes or so, the group decided against self evacuating due to the back pain and alerted EMS via InReach and cell phone. 

EMS received notification at 16:50 and launched Two Bear Air. They inserted a deputy, then extracted the victim and deputy. They transferred the patient to an air ambulance at Hungry Horse Reservoir (The patient was able to walk between helicopters). The patient was hospitalized overnight and treated for serious but not life-threatening injuries. Riders 2, 3, and 4 self evacuated. 

One member of the party cited several factors that contributed to the accident:
Confirmation bias - they'd skied a larger, more consequential line earlier in the day (Mt. Adams) and there were other tracks nearby. 
Complacency and fatigue: it was late in the day, and the riders were tired. The 4 riders had already skinned over 7000 vertical feet. 

The avalanche was a large avalanche (D2) that likely failed on old snow - either an interface between storms or a thin layer of facets a few inches above the Feb. 3 ice/ crust layer.The slab may have been composed partly of wind-drifted snow. It released at roughly 7100 feet and stopped mid path. It failed on a convex, upper elevation, shaded slope. The avalanche forecast for that day and the previous days listed a Persistent Slab avalanche problem in terrain like this, with a Moderate (L2) avalanche danger. 

The party was riding one at a time, though Rider 1 did not stop in a safe zone. Their response to their accident was exemplary. 

Two other near-misses occurred the same afternoon on shaded, upper elevation slopes in the next drainage north.
",O-Old Snow,,38°,750 ft,R2,175 ft,MP - Middle of Path,,50 cm (1.5 ft),1,1,1
71,Tunnel Creek,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 21, 2024",View Observation,1,NE,,6400 ft,D2,SS-Soft Slab,Persistent Slab,N-Natural,"Feb 17, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Likely failed sometime after temperatures warmed on February 17th. Unknown. I suspect it failed on facets above the early December crust. ,,,,,,,,,,,,
72,Mt. Penrose,Not Reported,Flathead Range & Glacier NP,,"Feb 19, 2024",View Observation,1,SE,,6800 ft,D2,SS-Soft Slab,Persistent Slab,N-Natural,"Feb 16, 2024 (Estimated)",,public,48.402214,-114.13365,Another photo taken of the crown on 1/17. Assume this failed days prior to that. Suspect it failed on facets above the early February Crust. ,,,,,R2,,,,,,,
73,Southeast facing slope in Skiumah drainage,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 17, 2024",View Observation,1,SE,"E, SE, S",6400 ft,D1,SS-Soft Slab,Dry Loose,N-Natural,"Feb 16, 2024 (Estimated)",Sarah Williams,forecaster,48.402214,-114.13365,Estimated. We did not observe this slide in action. ,S-New Snow,,35°,800 ft,R2,50 ft,,,,,,
74,Mount Grant Headwall,Not Reported,Flathead Range & Glacier NP,,"Feb 17, 2024",View Observation,3,SE,,6500 ft,D2,,,N-Natural,"Feb 16, 2024 (Estimated)",,public,48.402214,-114.13365,"Wet loose on the Mount Grant Headwall, likely ran 2/16 from the solar activity. ",,,,1000 ft,,50 ft,,,,,,
75,Dickey Creek,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 16, 2024",View Observation,10,S,"SE, S, E",6000 ft,D1.5,L-Dry Loose,Dry Loose,N-Natural,"Feb 14, 2024 (Estimated)",Sarah Williams,forecaster,48.402214,-114.13365,Multiple loose dry avalanches observed on steep slopes in Dickie Creek. Likely occurred earlier in the week.,S-New Snow,,35°,600 ft,R1,30 ft,MP - Middle of Path,,,,,
76,NE chutes that funnel north from the summit of Penrose,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 17, 2024",View Observation,5,NE,"NE, N, E",6500 ft,D1.5,SS-Soft Slab,Dry Loose,N-Natural,"Feb 14, 2024 (Estimated)",Sarah Williams,forecaster,48.402214,-114.13365,,,,38°,,R1,,,,,,,
77,NW facing ridge off Penrose,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 17, 2024",View Observation,8,NW,"N, W, NW",5600 ft,D1.5,SS-Soft Slab,Dry Loose,N-Natural,"Feb 13, 2024 (Estimated)",Sarah Williams,forecaster,48.402214,-114.13365,,,,,300 ft,,80 ft,,,,,,
78,Grant Ridge,Not Reported,Flathead Range & Glacier NP,,"Feb 17, 2024",View Observation,2,SE,,6800 ft,D2.5,,Storm Slab,N-Natural,"Feb 13, 2024 (Estimated)",,public,48.402214,-114.13365,Storm slab avalanche on ESE face near the Grant Headwall. ,,,,1200 ft,,300 ft,,,,,,
79,Paola Ridge,12:35 (Estimated),Flathead Range & Glacier NP,Flathead Nordic Backcountry Patrol,"Feb 13, 2024",View Observation,1,NE,,6500 ft,D1,SS-Soft Slab,Storm Slab,AS-Skierr-Remote,"Feb 13, 2024 (Estimated)",Jackson George,public,48.402214,-114.13365,Remotely triggered storm slab from the ridge.  Slab was thinner than one would expect given the amount of recent snowfall since this weekend. We speculated that it may have only involved the 2-12 overnight snowfall. Triggered from approximately 80 feet away.,S-New Snow,PP-Precipitation Particles,40°,50 ft,R1,25 ft,TP - Top of Path,"Feb 12, 2024",10 cm (0.5 ft),,,
80,gibralter ridge,16:30 (Estimated),Whitefish Range,Flathead Avalanche Center,"Feb 14, 2024",View Observation,1,NE,"NE, N, E",6500 ft,D1.5,SS-Soft Slab,Storm Slab,N-Natural,"Feb 13, 2024 (Estimated)",Jeff Metsky,professional,48.402214,-114.13365,storm snow appears to have failed on faceted layer above 2/3 crust,I-New/Old Interface,FC-Faceted Crystals,40°,120 ft,R1,50 ft,BP - Bottom of Path,"Feb 11, 2024",30 cm (1 ft),,,
81,Stahl Peak,12:30 (Estimated),Whitefish Range,Flathead Avalanche Center,"Feb 14, 2024",View Observation,1,SE,"SE, E, S",6800 ft,D1,L-Dry Loose,Dry Loose,N-Natural,"Feb 13, 2024 (Estimated)",Jeff Metsky,professional,48.402214,-114.13365,,S-New Snow,PP-Precipitation Particles,35°,200 ft,R1,40 ft,MP - Middle of Path,"Feb 12, 2024",15 cm (0.5 ft),,,
82,Aeneas Ridge/ Picnic Lake Chutes,13:35 (Exact),Swan Range,Flathead Avalanche Center,"Feb 12, 2024",View Observation,2,NE,"N, NE, E",7000 ft,D2,SS-Soft Slab,Wind Slab,AS-Skierr-Remote,"Feb 12, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,"Triggered 2 large avalanches remotely on lee side of Aeneas Ridge, in adjacent chutes north of electronics site. Only minor cracking similar terrain to south, though we could not access much of it safely. Both appeared to break about a foot deep, on the new snow/ old snow interface, though we could not safely access the crown faces. We could not see how far they ran. See obs/ snowpack tab for more info about depth of nearby shooting cracks and compression test results.",I-New/Old Interface,,,,R2,80 ft,U - Unknown,,30 cm (1 ft),,,
83,Paola Ridge,Not Reported,Flathead Range & Glacier NP,Flathead Nordic Backcountry Patrol,"Feb 13, 2024",View Observation,1,SE,,6600 ft,D2,SS-Soft Slab,Storm Slab,NS-Triggered by Slab Avalanche,"Feb 12, 2024 (Estimated)",Jackson George,public,48.402214,-114.13365,Unknown timing. Estimated to have been 2/12/2024 during heightened storm intensity.,I-New/Old Interface,,40°,,R3,300 ft,MP - Middle of Path,"Feb 11, 2024",50 cm (1.5 ft),,,
84,Mount Cannon,Not Reported,Other,Glacier National Park (Snow Ranger),"Feb 14, 2024",View Observation,2,S,,7000 ft,D2.5,,,N-Natural,"Feb 12, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,Unknown Avalanche Type. Either Storm Slab or Loose Dry. Was unable to locate definitive crowns.,,,40°,,R2,,,,,,,
85,Mount Edwards,Not Reported,Flathead Range & Glacier NP,Glacier National Park (Snow Ranger),"Feb 14, 2024",View Observation,7,SW,,8600 ft,D2.5,SS-Soft Slab,Storm Slab,N-Natural,"Feb 12, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,,,,45°,,R3,,,,,,,
86,East of Flower Point,11:00 (Exact),Whitefish Range,Flathead Avalanche Center,"Feb 10, 2024",View Observation,3,E,E,6450 ft,D1,L-Dry Loose,Dry Loose,AS-Skierc-Intentional,"Feb 10, 2024 (Exact)",Mark Dundas,forecaster,48.402214,-114.13365,"Easy to trigger loose slides in 6-8"" of unconsolidated snow on a stout crust.",I-New/Old Interface,,40°,125 ft,R1,10 ft,MP - Middle of Path,,,,,
87,Gibralter Ridge,15:30 (Exact),Whitefish Range,,"Feb 10, 2024",View Observation,1,NW,,6400 ft,D2,SS-Soft Slab,Storm Slab,AS-Skieru-Unintentional,"Feb 10, 2024 (Exact)",,public,48.402214,-114.13365,Skier triggered soft slab 15 feet wide by 1.5 feet deep.,I-New/Old Interface,,40°,200 ft,R2,15 ft,MP - Middle of Path,,45 cm (1.5 ft),,,
88,Skook Chutes,Not Reported,Whitefish Range,Flathead Avalanche Center,"Feb 10, 2024",View Observation,7,S,"SE, S",6200 ft,D1.5,L-Dry Loose,Dry Loose,N-Natural,"Feb 9, 2024 (Estimated)",Mark Dundas,forecaster,48.402214,-114.13365,"Multiple shallow, loose dry avalanches among the larger wet slides triggered by the abnormally warm weather in late January and early February.",I-New/Old Interface,IF-Ice Formations,38°,400 ft,R1,40 ft,BP - Bottom of Path,,,,,
89,Spider Bowl,15:30 (Estimated),Swan Range,,"Feb 9, 2024",View Observation,1,NW,,5300 ft,D1,SS-Soft Slab,,AS-Skierc-Intentional,"Feb 9, 2024 (Exact)",Zachary Miller,public,48.402214,-114.13365,"We triggered a few small sluffs within the new snow but they were predictable, slow moving, and didn't travel far. We also triggered one small storm slab (SS-ASc-D1-R2 50'w x 150'l x 8""d) at 5300' NW 38* slope on our exit that broke on that broke at our feet on the old snow/new snow interface.",I-New/Old Interface,,38°,150 ft,R2,50 ft,,,20 cm (0.5 ft),,,
90,Margaret Lake,Not Reported,Swan Range,Flathead Avalanche Center,"Feb 7, 2024",View Observation,1,N,,6800 ft,D1,,,AS-Skier,"Feb 8, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,"2/8: Easily triggered Dry Loose avalanches on very steep (>40) slopes on north facing aspects. 
We observed a handfull of old slab avalanches form the late January warmup. These likely failed as Wet Slabs. ",,,,200 ft,,,,"Feb 5, 2024",,,,
91,Below Beaver Ponds,13:30 (Estimated),Whitefish Range,Flathead Avalanche Center,"Feb 8, 2024",View Observation,2,NE,"N, NE, E",5800 ft,D1,L-Dry Loose,Dry Loose,AS-Skieru-Unintentional,"Feb 8, 2024 (Exact)",Jeff Metsky,professional,48.402214,-114.13365,small D1 avalanches triggered as we traveled down slopes around 35 degrees. Recent snow is bonding poorly with the stout crust layer formed last week. Faceted crystals found on crust surface on northerly aspects.,I-New/Old Interface,FC-Faceted Crystals,35°,75 ft,R1,20 ft,MP - Middle of Path,"Feb 3, 2024",10 cm (0.5 ft),,,
92,Snowshed,01:00 (Exact),Flathead Range & Glacier NP,,"Feb 6, 2024",View Observation,1,SE,,7400 ft,D2,,,AS-Skier,"Feb 6, 2024 (Exact)",,public,48.402214,-114.13365,,,,38°,,,,,,,,,
93,Marias Pass Region,13:00 (Estimated),Other,Glacier National Park (Snow Ranger),"Feb 6, 2024",View Observation,10,S,,6500 ft,D1,WL-Wet Loose,Wet Loose,N-Natural,"Feb 6, 2024 (Exact)",Jackson George,professional,48.402214,-114.13365,Several loose snow avalanches were releasing in the afternoon sunshine from steep rocky areas along the ridge between Elk and Little Dog. All were relatively harmless in size (D1),S-New Snow,PP-Precipitation Particles,2°,,R1,,,,,,,
94,Jewel,Not Reported,Swan Range,,"Feb 6, 2024",View Observation,5,S,SW,6500 ft,D1,WL-Wet Loose,Wet Loose,N-Natural,"Feb 6, 2024 (Estimated)",,public,48.402214,-114.13365,We noticed multiple wet loose sluffs on steep S facing aspects in the afternoon. ,,,,,,,,,,,,
95,"Brown creek, north of Peter's Ridge",15:08 (Estimated),Swan Range,Flathead Avalanche Center,"Feb 6, 2024",,1,SW,,6800 ft,D1,WL-Wet Loose,Wet Loose,N-Natural,"Feb 6, 2024 (Exact)",Sarah for Beth Steele,forecaster,48.402214,-114.13365,,,,,,,,,,,,,
96,Big Slide,Not Reported,Whitefish Range,,"Feb 4, 2024",View Observation,1,SE,"SE, S, E",5800 ft,D1,WL-Wet Loose,Wet Loose,N-Natural,"Feb 6, 2024 (Estimated)",,public,48.402214,-114.13365,"Observed one D1 natural point release avalanche that had run approximately 250 vertical feet from below the rock band on Big Slide sometime on 2/6.  SE aspect between approximately 5800' and 5550'

About 80% of Big Slide below the rocky band was raked with frozen rollerball debris from 2/6.",U-Unknown,,,250 ft,R1,,MP - Middle of Path,,,,,
97,Micho Mine,Not Reported,Whitefish Range,Flathead Avalanche Center,"Feb 8, 2024",View Observation,1,E,"E, NE",5800 ft,D1,WL-Wet Loose,Wet Loose,N-Natural,"Feb 6, 2024 (Estimated)",Jeff Metsky,professional,48.402214,-114.13365,Wet loose avalanches from earlier in the week on steep slopes with rock outcroppings.,I-New/Old Interface,,35°,70 ft,R1,35 ft,BP - Bottom of Path,,,,,
98,Brown's Pass,Not Reported,Other,Glacier National Park (Snow Ranger),"Feb 7, 2024",View Observation,15,S,,7600 ft,D2,WL-Wet Loose,Wet Loose,NL-Triggered by Loose Snow Avalanche,"Feb 6, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,Several Loose Wet Slides between Brown's Pass and Hole in the Wall Cirque.,,,,,,,,,,,,
99,Apgar Range,Not Reported,Whitefish Range,Glacier National Park (Snow Ranger),"Feb 7, 2024",View Observation,2,SW,,5800 ft,D2,,,NL-Triggered by Loose Snow Avalanche,"Feb 6, 2024 (Estimated)",Jackson George,professional,48.402214,-114.13365,Loose wet avalanches on the west side of the Apgar Crest. Old debris visible further down the gullies from larger slides during last weeks cycle.,,,,,,,,,,,,
100,Sperry Chalet Basin,Not Reported,Flathead Range & Glacier NP,,"Feb 8, 2024",View Observation,1,W,,6800 ft,D2,,,N-Natural,"Feb 6, 2024 (Estimated)",Paul Fotter,public,48.402214,-114.13365,Wet slide from this week's warming event. Started on a W aspect above 6800'. We were unable to observe the start zone.,,,,,,,,,,,,
101,"St Mary, MT East Flattop southeast face",Not Reported,Other,,"Feb 6, 2024",View Observation,1,SE,,6000 ft,D1,L-Dry Loose,Dry Loose,N-Natural,"Feb 5, 2024 (Estimated)",,public,48.402214,-114.13365,Slide occurred sometime after yesterday’s 2-3 inches of new snow followed by another 3 inches last night. ,S-New Snow,IF-Ice Formations,40°,500 ft,R2,,,"Feb 5, 2024",,,,
102,Wildcat/Clayton divide,Not Reported,Swan Range,Flathead Avalanche Center,"Feb 7, 2024",View Observation,1,E,,6400 ft,D2,,,N-Natural,"Feb 1, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,"2/8: Easily triggered Dry Loose avalanches on very steep (>40) slopes on north facing aspects. 
We observed a handfull of old slab avalanches form the late January warmup. These likely failed as Wet Slabs. ",,,,,,,,,,,,
103,Margaret Lake,Not Reported,Swan Range,Flathead Avalanche Center,"Feb 7, 2024",View Observation,1,NE,,6000 ft,D2,,,N-Natural,"Feb 1, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,"2/8: Easily triggered Dry Loose avalanches on very steep (>40) slopes on north facing aspects. 
We observed a handfull of old slab avalanches form the late January warmup. These likely failed as Wet Slabs. ",,,,600 ft,,,,"Dec 22, 2023",,,,
104,wheeler cr/Margaret Lake divide,Not Reported,Swan Range,Flathead Avalanche Center,"Feb 7, 2024",View Observation,1,SE,,6400 ft,D3,,,N-Natural,"Feb 1, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,"2/8: Easily triggered Dry Loose avalanches on very steep (>40) slopes on north facing aspects. 
We observed a handfull of old slab avalanches form the late January warmup. These likely failed as Wet Slabs. ",,,,,,,,"Dec 27, 2023",,,,
105,"Bison Mountain, GNP",13:22 (Exact),Other,,"Jan 31, 2024",View Observation,1,E,"NE, E",6700 ft,D2,WS-Wet Slab,Wet Slab,NC-Cornice Fall,"Jan 31, 2024 (Exact)",,public,48.402214,-114.13365,"Cornice triggered avalanche at about 7000’ on an East face, outside of the forecast area at about 1pm. Estimated to be D 1.5, crown height 2-3’ and hard to determine if it was a wind slab or PWL. ",O-Old Snow,,,500 ft,R2,,U - Unknown,,80 cm (2.5 ft),,,
106,Slippery Bill North,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 3, 2024",View Observation,1,E,"NE, E",6900 ft,D2.5,U-Unknown,Wet Slab,N-Natural,"Jan 31, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,"The main north path of Slippery Bill Mountain appears to have a large avalanche based on the debris we could see. Unfortunately, the visibility was limited all day, so we estimated that it was a D2.5 based on debris field. We suspect it to be a Wet Slab avalanche, but we could not confirm it. Debris field was wide. Covered upper half of most frequent slide path. ",O-Old Snow,,,750 ft,R3,,MP - Middle of Path,,,,,
107,Dickey drainage along Flathead Crest,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 16, 2024",View Observation,1,E,"E, SE",7300 ft,D3,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 31, 2024 (Estimated)",Sarah Williams,forecaster,48.402214,-114.13365,"We viewed this from a distance and did not have a view of the track or runout. The vertical fall, D size, date of occurrence, and slab thickness are estimated.",O-Old Snow,,35°,,R3,500 ft,,,100 cm (3.5 ft),,,
108,Dorothy's - skier's right,Not Reported,Whitefish Range,,"Feb 4, 2024",View Observation,1,SE,"S, SE, E",6300 ft,D2.5,U-Unknown,Wet Slab,N-Natural,"Jan 31, 2024 (Estimated)",,public,48.402214,-114.13365,"The slide on Dorothy’s may have already been reported but it was likely a wet slab that broke free during the warm up of last week. It was in the skiers right bowl and the debris pile was much larger than expected. We could see a crown in the top of the bowl, and I would say the size was D 2.5-3.",O-Old Snow,,38°,1500 ft,R3,,MP - Middle of Path,,,,,
109,NW facing slope of ridge off Penrose in the Skiumah drainage,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Feb 17, 2024",View Observation,1,NW,"N, NE, NW, W",6700 ft,D3,HS-Hard Slab,Persistent Slab,N-Natural,"Jan 31, 2024 (Estimated)",Sarah Williams,forecaster,48.402214,-114.13365,Estimated date and bed surface based on similar avalanches that failed around that time.,O-Old Snow,,40°,1000 ft,,450 ft,,,100 cm (3.5 ft),,,
110,Skook Face,12:38 (Estimated),Whitefish Range,Flathead Avalanche Center,"Jan 30, 2024",,1,S,"SW, S",6550 ft,D2,WS-Wet Slab,Wet Slab,N-Natural,"Jan 30, 2024 (Estimated)",blase reardon,forecaster,48.402214,-114.13365,"From WMR Patrol: ""Skook Face had a wet slab pull out of the skiers right pocket sometime late morning to early afternoon.""	
													
",O-Old Snow,,,,,,,,,,,
