,Whitefish Range,Conditions in the last 24hrsWMR Summit,Weather Forecast for Today,Weather Forecast for Tonight,Weather Forecast for Tomorrow,range,date,Conditions in the last 24hrsat WMR Summit,Conditions in the last 24hrsat WMR.,Conditions in the last 24hrsat WMR summit,Conditions in the last 24hrsat WMR,Conditions in the last 24hrsAt WMR summit,Conditions in the last 24hrsWMR summit,Conditions in the last 24hrsAt WMR Summit,Conditions in the last 24hrslWMR summit,Conditions in the last 24hrsWMR,Conditions in the last 24hrsat WMR Summit Station,Conditions in the last 12hrsWMR.,Conditions in the last 24hrsSummit of WMR,Swan Range,Conditions in the last 24hrsNoisy Basin/Aeneas Ridge,Conditions in the last 24hrsat Noisy/Aeneas Ridge,Conditions in the last 24hrsat Noisy Basin/Aeneas Ridge.,Conditions in the last 24hrsNoisy Basin/Aneas Ridge,Conditions in the last 24hrsat Noisy/ Aeneas Ridge,Conditions in the last 24hrsNoisy Basin,Conditions in the last 24hrsat Noisy/Aeneas Ridge.,Conditions in the last 24hrsat Noisy Basin/Aeneas Ridge,Conditions in the last 24hrsat Noisy Basin/ Aeneas Ridge,Conditions in the last 24hrsNoisy/Aeneas Ridge.,Conditions in the last 24hrsAt Noisy Basin/Aeneas Ridge,Conditions in the last 24hrsat Noisy/Aeneas.,Conditions in the last 24hrsNoisy Basin/ Aeneas Ridge,Conditions in the last 24hrsat Noisy/Aneas Ridge.,Conditions in the last 24hrsNoisy Basin /Aeneas Ridge,Conditions in the last 24hrsNoisy Basin/Aeneas.,Conditions in the last 24hrsat Noisy Basin.,Conditions in the last 24hrsat Noisy Basin/Aeneas.,Conditions in the last 24hrsNoisy Bain/Aeneas Ridge,Conditions in the last 24hrsat Noisy Basin,Conditions in the last 24hrsat Aeneas Ridge/Noisy Basin,Flathead Range & Glacier NP,Conditions in the last 24hrsTunnel Ridge,Conditions in the last 24hrsat Tunnel Ridge,Conditions in the last 24hrsat Tunnel Ridge.,Conditions in the last 24hrsat Tunnel,Conditions in the last 24hrs,Conditions in the last 24hrsAt Tunnel,Conditions in the last 24hrslShed 7/Snowslip,Conditions in the last 24hrsSnowslip/Shed 7,Conditions in the last 24hrsat Shed 7/Snowslip.,Conditions in the last 24hrsat Shed 7/ Snowslip,Conditions in the last 24hrsShed 7/Snowslip,Conditions in the last 24hrsat Snowslip/Shed 7,Conditions in the last 24hrsat Shed 7/Marias Pass.,Conditions in the last 24hrsat Shed 7/Snowslip,Conditions in the last 24hrsat Snowslip/ Shed 7,Conditions in the last 24hrsShed 7/Snowslip.,Conditions in the last 24hrsShed 7,Conditions in the last 24hrsat Shed 7,Conditions in the last 24hrsat Snowslip Mtn,Conditions in the last 24hrsat Snowslip/ Shed7,Conditions in the last 24hrsShed 4/Snowslip,Conditions in the last 24hrsShed 7/ Snowslip,Conditions in the last 24hrsat Shed 7/ Snowslip Mtn
2,Wind Direction,North,North,West,Southwest,Whitefish Range,2023-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,17G39 mph,17,12G23,8,Whitefish Range,2023-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"0""","0""","0""","0""",Whitefish Range,2023-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,0',0',0',0',Whitefish Range,2023-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Mostly Cloudy,Partly Cloudy,Mostly Clear,Mostly Clear,Whitefish Range,2023-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: 4° F | High: 26° F,1 to 8 ° F,-16 to -1 ° F,-1 to 4 ° F,Whitefish Range,2023-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,North,Northeast,Northeast,Northeast,Whitefish Range,2023-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,20G42 mph,25G47,22,17,Whitefish Range,2023-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"4""","0""","0""","0""",Whitefish Range,2023-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,3000',0',0',0',Whitefish Range,2023-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: 20° F | High: 26° F,26 to 31 ° F,-6 to 0 ° F,3 to 9 ° F,Whitefish Range,2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,Southwest,North,Northeast,Northeast,Whitefish Range,2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,10G27 mph,14G26,22G47,27G47,Whitefish Range,2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"0""","3""","3"" to 4""","0""",Whitefish Range,2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,2500',2500',500',0',Whitefish Range,2023-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-26,,,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,25 to 30 ° F,22 to 25 ° F,26 to 31 ° F,Whitefish Range,2023-01-26,,,Low: 15° F | High: 19° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,West,West,North,Whitefish Range,2023-01-26,,,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,17G29,13G24,13,Whitefish Range,2023-01-26,,,9G21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","2"" to 5""","2"" to 3""",Whitefish Range,2023-01-26,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,3000',2000',1500',Whitefish Range,2023-01-26,,,2200',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: 15° F | High: 17° F,23 to 26 ° F,17 to 20 ° F,24 to 29 ° F,Whitefish Range,2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,Southwest,Northwest,West,West,Whitefish Range,2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,9G21 mph,11,10G22,14,Whitefish Range,2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"0""","0""","0""","0""",Whitefish Range,2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,1500',2000',2500',3000',Whitefish Range,2023-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-24,Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,20 to 24 ° F,13 to 15 ° F,22 to 26 ° F,Whitefish Range,2023-01-24,Low: 11° F | High: 14° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,West,West,Northwest,Whitefish Range,2023-01-24,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,13G24,9,9,Whitefish Range,2023-01-24,9G22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0 to 1""","0""",Whitefish Range,2023-01-24,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,1500',1500',2000',Whitefish Range,2023-01-24,0',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-23,,,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,17 to 22 ° F,13 to 16 ° F,19 to 24 ° F,Whitefish Range,2023-01-23,,,Low:13 ° F | High: 20° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,West,West,West,Whitefish Range,2023-01-23,,,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,17G31,12,13,Whitefish Range,2023-01-23,,,8G19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0 to 1""","0""","0""",Whitefish Range,2023-01-23,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,1000',1000',1000',Whitefish Range,2023-01-23,,,1000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: 15° F | High: 22° F,20 to 25 ° F,10 to 12 ° F,17 to 22 ° F,Whitefish Range,2023-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,Southwest,West,West,Southwest,Whitefish Range,2023-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,8G18 mph,20G41,7G18,15G26,Whitefish Range,2023-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"0""","0 to 1""","0""","1""",Whitefish Range,2023-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,2000',1500',500',500',Whitefish Range,2023-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: 14° F | High: 18° F,20 to 26 ° F,15 to 18 ° F,21 to 25 ° F,Whitefish Range,2023-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,Southwest,Southwest,Southwest,West,Whitefish Range,2023-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,9G21 mph,20G49,31G52,20G41,Whitefish Range,2023-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"0""","0""","4"" to 6""","2""",Whitefish Range,2023-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,2000',1500',1500',1000',Whitefish Range,2023-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: 17° F | High: 24° F,19 to 25 ° F,14 to 16 ° F,20 to 26 ° F,Whitefish Range,2023-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,Southwest,West,West,Southwest,Whitefish Range,2023-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,7G22 mph,12,8,12G26,Whitefish Range,2023-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"0""","0""","0""","0""",Whitefish Range,2023-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,2000',1000',1500',1500',Whitefish Range,2023-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: 17° F | High: 23° F,24 to 29 ° F,15 to 17 ° F,20 to 25 ° F,Whitefish Range,2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,South,Southwest,West,West,Whitefish Range,2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,7G15 mph,9,9,11,Whitefish Range,2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"0.5""","0 to 1""","0""","0""",Whitefish Range,2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,2000',1500',1500',500',Whitefish Range,2023-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-18,,Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,22 to 28 ° F,19 to 22 ° F,25 to 30 ° F,Whitefish Range,2023-01-18,,Low: 17° F | High: 23° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,Southwest,West,Whitefish Range,2023-01-18,,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,12,9,6,Whitefish Range,2023-01-18,,9G24mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","1""","0 to 1""",Whitefish Range,2023-01-18,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,1500',2500',2500',Whitefish Range,2023-01-18,,2000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-17,,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,23 to 28 ° F,18 to 20 ° F,22 to 28 ° F,Whitefish Range,2023-01-17,,Low: 21° F | High: 28° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,West,Southwest,Southwest,Whitefish Range,2023-01-17,,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,11,13,13,Whitefish Range,2023-01-17,,8G20mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0""","0""",Whitefish Range,2023-01-17,,"1""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,2500',2000',1500',Whitefish Range,2023-01-17,,3000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-16,,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,25 to 31 ° F,21 to 23 ° F,23 to 28 ° F,Whitefish Range,2023-01-16,,Low: 24° F | High: 27° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,West,West,Whitefish Range,2023-01-16,,South southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,9,9,10,Whitefish Range,2023-01-16,,5G16mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0""","0""",Whitefish Range,2023-01-16,,"3""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,3500',3000',2500',Whitefish Range,2023-01-16,,5000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: 25° F | High: 30° F,28 to 35 ° F,22 to 26 ° F,26 to 32 ° F,Whitefish Range,2023-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,South-southwest,South,Southwest,Southwest,Whitefish Range,2023-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,7G20 mph,8,10,12,Whitefish Range,2023-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"0""","0 to 1""","1""","0""",Whitefish Range,2023-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,5000',4500',4000',3000',Whitefish Range,2023-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-14,Partly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,29 to 35 ° F,23 to 26 ° F,27 to 34 ° F,Whitefish Range,2023-01-14,Low: 29° F | High: 32° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,Southeast,Southeast,Whitefish Range,2023-01-14,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,12G24,8,9,Whitefish Range,2023-01-14,14G27 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"1""","0""","0""",Whitefish Range,2023-01-14,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,5000',4000',4000',Whitefish Range,2023-01-14,6000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Partly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-13,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,32 to 38 ° F,27 to 30 ° F,29 to 35 ° F,Whitefish Range,2023-01-13,Low: 20° F | High: 29° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,Southwest,Southwest,Whitefish Range,2023-01-13,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,14G25,14,13,Whitefish Range,2023-01-13,11G23 mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0""","0""",Whitefish Range,2023-01-13,Trace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,6000',5500',4500',Whitefish Range,2023-01-13,6000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-12,,Partly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,28 to 33 ° F,27 to 29 ° F,31 to 38 ° F,Whitefish Range,2023-01-12,,Low: 18° F | High:24 ° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,Southwest,Southwest,Whitefish Range,2023-01-12,,Southwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,12,15,13,Whitefish Range,2023-01-12,,7G19mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0""","0""",Whitefish Range,2023-01-12,,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,3500',5500',6000',Whitefish Range,2023-01-12,,3500',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-11,,Mostly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,,21 to 27 ° F,17 to 20 ° F,26 to 32 ° F,Whitefish Range,2023-01-11,,Low:18 ° F | High:28 ° F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,,Southwest,Southwest,South,Whitefish Range,2023-01-11,,South->North,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,,8,11,13G25,Whitefish Range,2023-01-11,,5G16mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,,"0""","0""","0""",Whitefish Range,2023-01-11,,"0""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,,2500',2500',3000',Whitefish Range,2023-01-11,,3000',,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,Partly Cloudy,Mostly Cloudy,Partly Cloudy,Partly Cloudy,Whitefish Range,2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Temperatures,Low: 21° F | High: 25° F,24 to 30 ° F,13 to 17 ° F,22 to 28 ° F,Whitefish Range,2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Wind Direction,South-southwest,West,Northeast,South,Whitefish Range,2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Wind Speed,9G17 mph,10G21,8,8,Whitefish Range,2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Snowfall,"4""","0""","0""","0""",Whitefish Range,2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Snow Line,3000',3000',2500',2000',Whitefish Range,2023-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Cloud Cover,,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Whitefish Range,2023-01-09,,Partly Cloudy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
